Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),ROC AUC,APCER (%),BPCER (%),ACER (%)
BASELINE_3,71.49,68.62,79.20,73.53,0.8273,20.80,36.22,28.51
GEOMETRIC_3,60.80,61.39,58.21,59.75,0.6643,41.79,36.62,39.20
FUSION_3,63.16,62.47,65.92,64.15,0.6466,34.08,39.60,36.84
FUSION_GRL_3,71.22,67.73,81.04,73.79,0.6674,18.96,38.61,28.78
