Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),ROC AUC,APCER (%),BPCER (%),ACER (%)
BASELINE_2,61.31,53.78,81.79,64.89,0.7607,18.21,54.60,36.40
GEOMETRIC_2,46.85,42.73,63.48,51.08,0.5840,36.52,66.07,51.30
FUSION_2,46.04,43.50,78.36,55.94,0.6453,21.64,79.06,50.35
