epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.294673,0.949611,1.005123,0.460312,0.00090451
2,stage1,0.253562,0.977332,1.016538,0.430772,0.00065451
3,stage1,0.241756,0.984229,0.878811,0.446176,0.00034549
4,stage1,0.235349,0.986982,0.809395,0.567235,0.00009549
5,stage1,0.232122,0.988698,0.796523,0.517216,0.00000000
6,stage2,0.216253,0.996826,0.749223,0.530808,0.00009891
7,stage2,0.209777,0.999385,0.741887,0.564516,0.00009568
8,stage2,0.208838,0.999385,1.100168,0.466655,0.00009045
9,stage2,0.208620,0.999255,0.819307,0.558898,0.00008346
10,stage2,0.207472,0.999709,0.728191,0.666002,0.00007500
11,stage2,0.206063,0.999903,0.903882,0.480246,0.00006545
12,stage2,0.206259,0.999806,0.986374,0.456325,0.00005523
13,stage2,0.206250,0.999676,0.987925,0.509242,0.00004477
14,stage2,0.205476,0.999773,1.043320,0.501993,0.00003455
15,stage2,0.205257,0.999935,0.921065,0.490939,0.00002500
