epoch,stage,train_loss,train_acc,val_loss,val_acc,lr
1,stage1,0.593305,0.693426,0.746630,0.512867,0.00090451
2,stage1,0.570095,0.713860,0.724786,0.513773,0.00065451
3,stage1,0.561225,0.724093,0.689656,0.533164,0.00034549
4,stage1,0.557898,0.727073,0.705916,0.513773,0.00009549
5,stage1,0.556073,0.729858,0.716554,0.508880,0.00000000
6,stage2,0.556484,0.727655,0.707016,0.513773,0.00009891
7,stage2,0.554745,0.731509,0.710257,0.510692,0.00009568
8,stage2,0.554562,0.735298,0.716354,0.509424,0.00009045
9,stage2,0.555394,0.728983,0.714453,0.509424,0.00008346
10,stage2,0.555351,0.731865,0.682699,0.529540,0.00007500
