Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),ROC AUC,APCER (%),BPCER (%),ACER (%)
BASELINE_2,76.12,70.95,88.46,78.74,0.6447,11.54,36.22,23.88
GEOMETRIC_2,62.64,65.34,53.83,59.03,0.7305,46.17,28.56,37.36
FUSION_2,78.21,71.89,92.64,80.96,0.6661,7.36,36.22,21.79
